city_simple,city_cn
shanghai,上海
tianjin,天津
beijing,北京
chongqing,重庆
xianggang,香港
aomen,澳门
hefei,合肥
maanshan,马鞍山
liuan,六安
anqing,安庆
xuancheng,宣城
suzhou2,宿州
chaohu,巢湖
chizhou,池州
huaibei,淮北
huainan,淮南
chuzhou,滁州
wuhu,芜湖
bengbu,蚌埠
tongling,铜陵
fuyang,阜阳
huangshan,黄山
bozhou,亳州
tianchang,天长
mingguang,明光
xiamen,厦门
fuzhou,福州
ningde,宁德
putian,莆田
sanming,三明
nanping,南平
quanzhou,泉州
zhangzhou,漳州
longyan,龙岩
changle,长乐
jinan,晋江
nana,南安
shishi,石狮
longhai,龙海
yongan,永安
lanzhou,兰州
tianshui,天水
wuwei,武威
zhangye,张掖
baiyin,白银
jiuquan,酒泉
pingliang,平凉
qingyang,庆阳
linxia,临夏
dingxi,定西
jiayuguan,嘉峪关
jinchang,金昌
longnan,陇南
guangzhou,广州
shenzhen,深圳
zhuhai,珠海
dongguan,东莞
zhongshan,中山
foshan,佛山
huizhou,惠州
jiangmen,江门
maoming,茂名
meizhou,梅州
shantou,汕头
heyuan,河源
chaozhou,潮州
zhaoqing,肇庆
yangjiang,阳江
shaoguan,韶关
huadu,花都
zhanjiang,湛江
qingyuan,清远
zengcheng,增城
puning,普宁
kaiping,开平
conghua,从化
gaozhou,高州
jieyang,揭阳
lechang,乐昌
lianzhou,连州
shanwei,汕尾
shunde,顺德
sihui,四会
taishan,台山
yangchun,阳春
yunfu,云浮
nanning,南宁
guilin,桂林
wuzhou,梧州
liuzhou,柳州
beihai,北海
yulin2,玉林
qinzhou,钦州
guigang,贵港
laibin,来宾
chongzuo,崇左
fangchenggang,防城港
baise,百色
hechi,河池
hezhou,贺州
guiyang,贵阳
zunyi,遵义
liupanshui,六盘水
anshun,安顺
xingyi,兴义
kaili,凯里
duyun,都匀
chishui,赤水
tongren,铜仁
qiannan,黔南
bijie,毕节
qingzhen,清镇
tianzhu,天柱
haikou,海口
sanya,三亚
qionghai,琼海
danzhou,儋州
chengmai,澄迈
wanning,万宁
lingao,临高
baisha,白沙
lingshui,陵水
