id,type,origin,dest,local_time_min,amap_time_min,time_diff_min,time_diff_pct,local_transfers,amap_transfers,transfer_diff,local_stations,amap_stations,station_diff,walking_m,jaccard,lines_match
T01,manual,三桥,半坡,33.81,48.02,-14.21,-29.6,0,0,0,17,17,0,528,1.0000,true
T02,manual,小寨,钟楼,9.35,16.82,-7.47,-44.4,0,0,0,5,5,0,374,1.0000,true
T03,manual,丈八北路,万寿路,35.07,42.92,-7.85,-18.3,1,1,0,14,14,0,405,1.0000,true
T04,manual,保税区,航天新城,66.07,81.33,-15.26,-18.8,1,1,0,28,28,0,466,0.9310,true
T05,manual,杨官寨,秦陵西,106.84,117.27,-10.43,-8.9,3,0,3,34,4,30,858,0.1176,false
T06,manual,北大街,钟楼,4.48,8.95,-4.47,-49.9,0,0,0,2,2,0,313,1.0000,true
T07,manual,后卫寨,纺织城,38.91,51.38,-12.47,-24.3,0,0,0,19,19,0,413,1.0000,true
T08,manual,草滩,常宁宫,53.53,64.52,-10.99,-17.0,0,0,0,25,25,0,212,0.7857,true
T09,manual,鱼化寨,保税区,58.72,N/A,N/A,N/A,0,N/A,N/A,26,N/A,N/A,N/A,N/A,N/A
T10,manual,创新港,纺织城,79.13,99.50,-20.37,-20.5,2,1,1,33,37,-4,336,0.3725,false
T11,random,建筑科技大学·李家村,钟楼,12.77,22.40,-9.63,-43.0,1,1,0,4,4,0,799,1.0000,true
T12,random,田王,香湖湾,47.86,54.98,-7.12,-13.0,2,2,0,16,16,0,232,0.8824,true
T13,random,月登阁,泾渭半岛,65.93,79.58,-13.65,-17.2,2,2,0,21,21,0,586,1.0000,false
T14,random,光化门,团结村,28.14,42.02,-13.88,-33.0,1,1,0,11,11,0,517,0.8333,false
T15,random,卫星测控中心,科技路,26.06,36.33,-10.27,-28.3,0,0,0,14,14,0,444,1.0000,true
T16,random,丈八六路,和平门,33.47,45.20,-11.73,-26.0,1,1,0,15,15,0,499,1.0000,true
T17,random,凤城五路,秦陵西,76.63,90.92,-14.29,-15.7,2,2,0,29,29,0,434,0.9333,true
T18,random,长乐坡,西部大道(西太路口),52.56,64.87,-12.31,-19.0,2,2,0,22,22,0,510,1.0000,true
T19,random,航天城,复兴大道南,47.74,59.72,-11.98,-20.1,1,1,0,20,20,0,662,0.9048,true
T20,random,香王,造字台,60.79,72.82,-12.03,-16.5,1,1,0,27,27,0,338,1.0000,true
T21,random,创新港东,建筑科技大学·李家村,51.22,67.28,-16.06,-23.9,0,0,0,24,24,0,441,1.0000,true
T22,random,沣东城市广场,建筑科技大学·李家村,44.46,58.37,-13.91,-23.8,1,1,0,18,18,0,665,1.0000,true
T23,random,北大街,皂河,16.19,21.43,-5.24,-24.5,0,0,0,8,8,0,277,1.0000,true
T24,random,石家街,北槐,44.86,55.73,-10.87,-19.5,1,1,0,19,19,0,409,1.0000,true
T25,random,光化门,军庄,60.13,77.67,-17.54,-22.6,1,1,0,20,20,0,773,0.9048,false
T26,random,元朔路,西电科大南校区·未来之瞳,68.91,80.53,-11.62,-14.4,2,1,1,30,22,8,448,0.2381,false
T27,random,务庄,市图书馆,28.14,N/A,N/A,N/A,1,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A
T28,random,曲江池西,新筑,50.13,62.85,-12.72,-20.2,1,1,0,20,20,0,463,0.9048,true
T29,random,双寨,钓台,87.92,110.57,-22.65,-20.5,1,1,0,39,39,0,373,0.9500,true
T30,random,木塔寺,劳动路,29.24,25.45,3.79,14.9,2,0,2,9,5,4,469,0.0769,false
T31,random,崇皇,山门口,81.28,96.67,-15.39,-15.9,1,1,0,30,30,0,431,0.9355,false
T32,random,鹿苑大道,纺织城,77.71,93.18,-15.47,-16.6,2,2,0,24,24,0,629,1.0000,false
T33,random,行政中心,务庄,37.25,56.32,-19.07,-33.9,2,2,0,12,12,0,809,0.7143,false
T34,random,元朔路,安远门,25.03,31.52,-6.49,-20.6,1,1,0,10,10,0,343,0.6667,true
T35,random,翱翔小镇,团结村,73.94,95.92,-21.98,-22.9,2,2,0,30,30,0,594,0.9355,false
T36,random,复兴大道南,镐京大道,12.05,23.13,-11.08,-47.9,1,0,1,3,2,1,990,0.6667,false
T37,random,沣西文化公园,西安国际医学中心,67.71,81.95,-14.24,-17.4,1,1,0,28,28,0,356,1.0000,true
T38,random,祝村西,摆旗寨,93.91,109.00,-15.09,-13.8,2,2,0,32,32,0,1191,0.8286,true
T39,random,祝村,艺术中心,96.90,110.02,-13.12,-11.9,2,2,0,32,32,0,1122,0.8286,true
T40,random,西安东,灞柳二路,48.66,56.92,-8.26,-14.5,3,1,2,15,6,9,904,0.1667,false
T41,random,山门口,仁村,26.11,30.77,-4.66,-15.1,1,0,1,9,8,1,492,0.8889,false
T42,random,公园南路,机场(T5),78.72,102.05,-23.33,-22.9,2,0,2,24,6,18,1187,0.2500,false
T43,random,邮电大学,秦陵西,95.88,115.32,-19.44,-16.9,3,3,0,36,38,-2,727,0.5417,false
T44,random,大明宫西,西安东,39.60,73.20,-33.60,-45.9,1,1,0,18,14,4,1220,0.1852,false
T45,random,文艺路,摆旗寨,63.19,75.55,-12.36,-16.4,2,1,1,19,23,-4,845,0.1667,false
T46,random,航天新城,枣园,48.34,58.23,-9.89,-17.0,1,1,0,22,22,0,194,1.0000,true
T47,random,香王,西部大道(西太路口),62.52,74.80,-12.28,-16.4,1,1,0,28,28,0,336,1.0000,true
T48,random,西安北,霸城门,20.62,34.60,-13.98,-40.4,1,1,0,7,7,0,786,0.5556,false
T49,random,凤城九路,凤城五路,13.51,18.00,-4.49,-24.9,1,0,1,4,2,2,475,0.5000,false
T50,random,咸阳西,科技路,58.08,68.63,-10.55,-15.4,2,0,2,21,18,3,618,0.6957,false
T51,random,欢乐谷,开远门,30.91,40.47,-9.56,-23.6,1,1,0,12,13,-1,103,0.0870,false
T52,random,纬一街,郭杜,28.84,38.32,-9.48,-24.7,1,1,0,9,9,0,758,0.8000,true
T53,random,邮电大学,华清池,89.60,108.87,-19.27,-17.7,3,3,0,33,35,-2,765,0.5111,false
T54,random,东马坊,市图书馆,54.33,68.85,-14.52,-21.1,1,1,0,22,22,0,494,0.9130,false
T55,random,斗门,诗经里,16.38,28.27,-11.89,-42.1,1,1,0,5,5,0,615,1.0000,true
T56,random,芷阳广场,康复路,44.53,52.07,-7.54,-14.5,1,1,0,15,15,0,401,1.0000,true
T57,random,鹦鹉寺公园,红庙坡,66.88,80.98,-14.10,-17.4,2,1,1,25,19,6,1043,0.7600,false
T58,random,浐灞中心,余家寨,19.03,27.00,-7.97,-29.5,1,1,0,6,6,0,632,1.0000,false
T59,random,理工大曲江校区,西部大道(西太路口),41.78,56.78,-15.00,-26.4,1,1,0,19,19,0,384,1.0000,true
T60,random,金滹沱,丈八北路,28.49,36.28,-7.79,-21.5,1,1,0,10,10,0,408,1.0000,true
T61,random,枣园,玉祥门,10.92,14.63,-3.71,-25.4,0,0,0,5,5,0,220,1.0000,true
T62,random,镐京,纺二路,60.21,73.90,-13.69,-18.5,1,1,0,27,27,0,224,1.0000,true
T63,random,香王,长陵,76.87,87.82,-10.95,-12.5,3,3,0,24,28,-4,251,0.4054,false
T64,random,机场西(T1/T2/T3),凤栖原,84.56,95.75,-11.19,-11.7,1,1,0,28,28,0,683,0.8065,true
T65,random,丰庆公园,凤城十路,33.87,49.80,-15.93,-32.0,1,1,0,15,15,0,715,0.8750,true
T66,random,西安南,霸城门,54.91,62.98,-8.07,-12.8,1,1,0,23,23,0,279,0.9167,false
T67,random,景家堡,秦陵西,87.31,105.13,-17.82,-17.0,3,3,0,29,29,0,733,1.0000,false
T68,random,丈八六路,西电科大南校区·未来之瞳,16.39,21.40,-5.01,-23.4,0,0,0,7,7,0,378,1.0000,true
T69,random,常宁宫,交通大学·兴庆宫,38.35,50.02,-11.67,-23.3,1,1,0,16,16,0,585,0.8824,true
T70,random,东长安街,井上村,39.20,52.52,-13.32,-25.4,1,1,0,18,18,0,737,0.8947,false
T71,random,景家堡,造字台,67.34,79.88,-12.54,-15.7,2,2,0,26,26,0,518,0.9259,false
T72,random,土门,景曜门,10.38,15.50,-5.12,-33.0,0,0,0,5,5,0,317,1.0000,false
T73,random,白马河,汉城路,25.28,27.98,-2.70,-9.7,0,0,0,11,11,0,174,1.0000,true
T74,random,郭杜,西北工业大学,31.56,N/A,N/A,N/A,1,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A
T75,random,田家湾,航天东路,43.65,52.80,-9.15,-17.3,1,1,0,20,20,0,288,1.0000,true
T76,random,大唐西市,米家崖,34.41,41.38,-6.97,-16.9,1,1,0,15,15,0,351,1.0000,false
T77,random,吉祥村,市中医医院,35.00,43.38,-8.38,-19.3,1,1,0,16,16,0,292,0.8824,true
T78,random,龙首原,劳动路,16.86,N/A,N/A,N/A,1,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A
